congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.378,0.383,-148.22015,0.85568,951,71,,0.449,0.33
118,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.401,0.397,-47.29378,0.94875,899,18,,-0.526,0.366
118,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.678,0.115,-81.45676,0.91708,941,40,,0.669,0.113
118,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.547,0.232,-109.81756,0.89148,956,53,,0.596,0.253
118,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.637,-0.249,-91.32819,0.90907,958,39,,0.714,-0.291
118,House,22366,41,5,AL,200,,,"STRONG, Dale",S001220,1970.0,,0.619,0.369,-99.71566,0.90046,951,38,,0.618,0.368
118,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.405,0.465,-163.12988,0.84021,937,81,,0.469,0.229
118,House,22168,81,1,AK,100,,,"PELTOLA, Mary Sattler",P000619,1973.0,,-0.138,0.379,-177.59432,0.7973,784,82,,-0.138,0.387
118,House,21995,93,0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947.0,,0.325,0.186,-72.8315,0.70219,206,36,,0.324,0.174
118,House,20305,61,7,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.598,-0.264,-34.93076,0.95021,684,15,,-0.573,-0.39
118,House,21103,61,9,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.701,-0.507,-71.91435,0.92345,903,27,,0.762,-0.613
118,House,21105,61,1,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.558,-0.236,-246.60904,0.77179,952,93,,0.482,-0.203
118,House,21502,61,3,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.402,0.129,-117.0763,0.86917,835,49,,-0.287,0.283
118,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.823,-0.568,-105.36012,0.89554,955,47,,0.726,-0.687
118,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958.0,,0.616,-0.087,-89.17409,0.90247,869,36,,0.639,-0.048
118,House,21968,61,4,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.281,0.269,-64.67827,0.93398,947,26,,-0.292,0.425
118,House,22309,61,6,AZ,200,,,"CISCOMANI, Juan",C001133,1982.0,,0.286,0.677,-58.34991,0.94006,944,25,,0.291,0.664
118,House,22311,61,2,AZ,200,,,"CRANE, Eli",C001132,1980.0,,0.745,-0.667,-87.51779,0.91199,950,39,,0.746,-0.666
118,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.459,0.307,-142.11941,0.86051,946,52,,0.464,0.16
118,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.348,0.626,-64.93082,0.9346,960,22,,0.369,0.898
